City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Avarua,-21.2078,-159.775,68.05,73,75,10.36,CK,1660666776
Muros,42.7762,-9.0603,67.84,79,53,14.41,ES,1660666777
Busselton,-33.65,115.3333,54.41,79,100,17.69,AU,1660666777
Jamestown,42.097,-79.2353,64.02,75,100,5.75,US,1660666732
Cayenne,4.9333,-52.3333,87.84,14,7,9.22,GF,1660666777
Saint Paul Harbor,57.79,-152.4072,54.91,82,100,14.97,US,1660666777
Torbay,47.6666,-52.7314,65.28,86,100,10.36,CA,1660666683
Bud,39.447,-86.1758,80.02,61,45,8.66,US,1660666778
Le Vauclin,14.5452,-60.8388,89.65,70,40,17.27,MQ,1660666486
Djibouti,11.5,42.5,87.78,43,70,11.97,DJ,1660666778
Esperance,-33.8667,121.9,56.46,82,73,18.43,AU,1660666779
Båtsfjord,70.6345,29.7185,78.58,50,81,16.11,NO,1660666779
Ponta do Sol,32.6667,-17.1,80.13,73,38,3.09,PT,1660666779
Semīrom,31.4167,51.5667,74.8,15,0,8.08,IR,1660666779
Narsaq,60.9167,-46.05,50.22,99,100,6.87,GL,1660666780
Hermanus,-34.4187,19.2345,57.79,71,70,17.47,ZA,1660666780
Guerrero Negro,27.9769,-114.0611,76.53,66,48,5.77,MX,1660666781
Sindou,10.6667,-5.1667,74.79,86,100,6.98,BF,1660666781
East London,-33.0153,27.9116,59.94,77,0,3.44,ZA,1660666781
Bubaque,11.2833,-15.8333,79.65,83,63,10.45,GW,1660666781
Santa Rosa,14.3122,121.1114,82.38,87,81,6.17,PH,1660666782
Billings Metropolitan Area,45.7833,-108.5007,78.51,53,0,8.05,US,1660666759
Butaritari,3.0707,172.7902,80.65,80,93,14.2,KI,1660666782
Saint-Philippe,-21.3585,55.7679,69.39,74,47,7.25,RE,1660666782
Kununurra,-15.7667,128.7333,55.38,82,55,1.14,AU,1660666783
Great Bend,38.3645,-98.7648,72.03,84,100,11.5,US,1660666783
Ribeira Grande,38.5167,-28.7,77.4,53,40,16.11,PT,1660666783
Tapes,-30.6733,-51.3958,59.27,68,70,4.16,BR,1660666784
New Norfolk,-42.7826,147.0587,46.71,88,4,1.81,AU,1660666784
Mahébourg,-20.4081,57.7,70.09,88,40,4.61,MU,1660666785
Punta Arenas,-53.15,-70.9167,39.22,81,0,9.22,CL,1660666588
Ust'-Koksa,50.2696,85.6108,46.27,76,84,5.35,RU,1660666785
San Felipe,10.3399,-68.7425,94.86,36,10,4.38,VE,1660666785
Cidreira,-30.1811,-50.2056,58.28,75,100,7.36,BR,1660666786
Cape Town,-33.9258,18.4232,59.27,67,40,19.57,ZA,1660666489
Opuwo,-18.0607,13.84,85.26,7,0,2.8,NA,1660666786
Mar del Plata,-38.0023,-57.5575,60.1,51,20,18.41,AR,1660666696
Kaitangata,-46.2817,169.8464,47.75,92,100,0.54,NZ,1660666786
Portland,45.5234,-122.6762,69.62,83,75,5.75,US,1660665922
Yar-Sale,66.8333,70.8333,46.83,66,87,18.19,RU,1660666787
Katsuura,35.1333,140.3,78.82,87,93,24.79,JP,1660666788
Hobart,-42.8794,147.3294,47.05,97,75,3.44,AU,1660666789
Atuona,-9.8,-139.0333,76.44,72,51,20.45,PF,1660666789
Meadow Lake,34.8014,-106.5436,81.7,58,6,0.45,US,1660666509
Touho,-20.7833,165.2333,73.27,88,96,3.91,NC,1660666789
Leningradskiy,69.3833,178.4167,29.88,91,12,6.64,RU,1660666790
Tulun,54.5611,100.5792,46.49,86,94,4.03,RU,1660666790
Paamiut,61.994,-49.6678,41.9,89,100,12.3,GL,1660666790
Chui,-33.6971,-53.4616,56.59,49,24,8.14,UY,1660666792
Severo-Kuril'sk,50.6789,156.125,53.29,97,100,2.71,RU,1660666792
Yangi Marg`ilon,40.4272,71.7189,88.52,23,23,2.3,UZ,1660666792
Talnakh,69.4865,88.3972,55.72,77,100,3.44,RU,1660666793
Praia da Vitória,38.7333,-27.0667,76.75,73,100,13.11,PT,1660666793
Altay,47.8667,88.1167,57.04,30,0,8.55,CN,1660666793
Nur-Sultan,51.1801,71.446,60.75,44,0,4.47,KZ,1660666796
Vao,-22.6667,167.4833,68.22,94,100,17.87,NC,1660666796
Vanimo,-2.6741,141.3028,77.74,87,58,1.99,PG,1660666797
Flin Flon,54.7682,-101.865,80.44,47,20,9.22,CA,1660666509
Inírida,3.8653,-67.9239,82.29,72,67,4.25,CO,1660666799
George Town,5.4112,100.3354,81.9,83,20,3.44,MY,1660666511
Bluff,-46.6,168.3333,48.43,91,100,4.12,NZ,1660666799
Port Alfred,-33.5906,26.891,59.18,65,100,4.05,ZA,1660666800
Kapaa,22.0752,-159.319,73.38,97,20,6.91,US,1660666785
Pacific Grove,36.6177,-121.9166,60.91,95,100,5.99,US,1660666800
Qaanaaq,77.484,-69.3632,42.39,62,83,2.08,GL,1660666801
São João da Barra,-21.6403,-41.0511,84.29,62,0,20.11,BR,1660666801
Klaksvík,62.2266,-6.589,52.72,69,9,12.48,FO,1660666801
Castro,-24.7911,-50.0119,66.18,63,93,4.72,BR,1660666802
Lebu,-37.6167,-73.65,51.48,93,100,15.61,CL,1660666802
Baghdad,33.3406,44.4009,103.91,14,0,18.41,IQ,1660666802
Saldanha,-33.0117,17.9442,55.9,76,85,10.74,ZA,1660666803
Barrow,71.2906,-156.7887,33.82,93,100,13.8,US,1660666804
Cherskiy,68.75,161.3,45.34,76,100,5.08,RU,1660666804
Toamasina,-18.1667,49.3833,69.06,82,0,6.98,MG,1660666806
Kolvereid,64.8655,11.6047,68.88,92,99,6.33,NO,1660666806
Forest Park,39.2903,-84.5041,79.36,63,20,5.75,US,1660666806
Thompson,55.7435,-97.8558,77.16,65,20,9.22,CA,1660666509
Beloha,-25.1667,45.05,64.2,68,1,7.27,MG,1660666807
Port-Cartier,50.0334,-66.8654,79.02,43,8,6.17,CA,1660666807
Yellowknife,62.456,-114.3525,72.12,68,75,10.36,CA,1660666807
Cotonou,6.3654,2.4183,80.58,78,40,10.36,BJ,1660666526
São Filipe,14.8961,-24.4956,79.56,84,70,9.91,CV,1660666808
Mount Gambier,-37.8333,140.7667,45.61,90,100,5.39,AU,1660666808
Longyearbyen,78.2186,15.6401,40.84,81,75,21.85,SJ,1660666809
Doka,13.5167,35.7667,73.26,89,100,3.78,SD,1660666810
Antequera,37.0194,-4.5612,90.37,22,1,13.42,ES,1660666810
Chippewa Falls,44.9369,-91.3929,76.96,59,0,6.91,US,1660666562
Ca Mau,9.1769,105.15,79.9,86,14,4.52,VN,1660666811
Koslan,63.4564,48.8989,63.72,68,100,2.42,RU,1660666811
Sept-Îles,50.2001,-66.3821,79.32,32,20,8.05,CA,1660666742
Santiago de Puringla,14.3585,-87.9032,78.57,61,91,3.18,HN,1660666812
Kushiro,42.975,144.3747,65.07,84,82,14.92,JP,1660666692
Henties Bay,-22.116,14.2845,59.11,72,2,11.39,NA,1660666812
Bredasdorp,-34.5322,20.0403,55.54,72,93,7.38,ZA,1660666812
Ayagoz,47.9714,80.4392,57.38,37,0,16.17,KZ,1660666814
Omboué,-1.5746,9.2618,75.4,68,28,11.18,GA,1660666814
Isla Vista,34.4133,-119.861,60.69,88,100,5.75,US,1660666561
San Antonio,29.4241,-98.4936,88.59,66,75,14.97,US,1660666730
Piteå,65.3172,21.4794,68.09,72,64,9.64,SE,1660666814
Miandrivazo,-19.5167,45.4667,75.6,54,0,8.99,MG,1660666815
Chokurdakh,70.6333,147.9167,41.58,82,98,10.89,RU,1660666815
Brigantine,39.4101,-74.3646,79.2,64,75,14.97,US,1660666816
High Level,58.5169,-117.136,64.51,72,20,2.3,CA,1660666816
San Andrés,12.5847,-81.7006,84.22,79,75,8.05,CO,1660666671
Coquimbo,-29.9533,-71.3436,62.33,63,0,9.22,CL,1660666816
Saskylakh,71.9167,114.0833,45.99,92,100,6.33,RU,1660666817
Alta Floresta,-9.8756,-56.0861,94.82,38,20,5.75,BR,1660666817
Matagami,49.7502,-77.6328,75.31,41,0,3.44,CA,1660666655
Mizdah,31.4451,12.9801,105.62,11,12,10.76,LY,1660666817
Rocha,-34.4833,-54.3333,60.33,42,47,10.89,UY,1660666818
Pangnirtung,66.1451,-65.7125,46.4,81,75,10.36,CA,1660666818
Dunedin,-45.8742,170.5036,51.8,89,100,1.01,NZ,1660666674
Hualmay,-11.0964,-77.6139,63.97,73,65,9.95,PE,1660666819
Brae,60.3964,-1.353,50.86,79,100,20.96,GB,1660666819
Nabire,-3.3667,135.4833,73.99,95,54,3.56,ID,1660666819
Hithadhoo,-0.6,73.0833,82.78,76,39,14.79,MV,1660666820
Gimbi,9.1667,35.8333,57.06,97,99,0.63,ET,1660666820
Nizwá,22.9333,57.5333,98.85,31,100,6.69,OM,1660666820
Puerto Ayora,-0.7393,-90.3518,75.16,96,99,7.0,EC,1660666821
Airai,-8.9266,125.4092,55.96,89,83,1.92,TL,1660666821
Pontes e Lacerda,-15.2261,-59.3353,94.19,32,51,5.37,BR,1660666821
Shelby,35.2001,-89.8668,82.49,81,100,9.22,US,1660666822
Ancud,-41.8697,-73.8203,44.22,78,71,15.59,CL,1660666822
Vitim,59.4511,112.5578,47.86,97,100,7.61,RU,1660666823
Don Luan,11.5333,106.9167,75.18,97,98,3.8,VN,1660666749
Bondoukou,8.0333,-2.8,78.3,72,100,11.18,CI,1660666823
Shīeli,44.1667,66.75,86.02,23,0,19.37,KZ,1660666823
Yenagoa,4.9247,6.2642,80.85,65,100,5.75,NG,1660666824
São José da Coroa Grande,-8.8978,-35.1478,79.57,59,8,12.55,BR,1660666824
Oistins,13.0667,-59.5333,87.89,66,20,19.57,BB,1660666788
Alofi,-19.0595,-169.9187,71.49,64,99,21.85,NU,1660666824
Tabuk,17.4189,121.4443,75.92,91,100,2.62,PH,1660666827
Karabük,41.2049,32.6277,77.72,63,20,3.96,TR,1660666828
Kiunga,-6.1219,141.2906,71.78,99,100,2.48,PG,1660666829
Labuhan,-6.8844,112.2051,78.1,83,54,6.71,ID,1660666829
Nemuro,43.3236,145.575,64.62,84,98,21.77,JP,1660666829
Necochea,-38.5473,-58.7368,55.51,51,82,22.28,AR,1660666829
Anadyr,64.75,177.4833,41.5,80,40,8.95,RU,1660666830
Arman',59.7,150.1667,52.86,91,100,3.58,RU,1660666830
Prince Rupert,54.3161,-130.3201,60.89,94,100,13.8,CA,1660666620
Kānkānhalli,12.55,77.4167,79.09,57,21,2.68,IN,1660666830
Kodinsk,58.6881,99.1844,50.65,92,100,4.18,RU,1660666831
Broome,42.2506,-75.833,81.66,55,0,8.05,US,1660666831
Morondava,-20.2833,44.2833,74.37,78,0,15.64,MG,1660666832
Kruisfontein,-34.0033,24.7314,55.08,59,100,5.3,ZA,1660666834
Killybegs,54.6333,-8.45,60.51,63,23,19.64,IE,1660666834
Poplar Bluff,36.757,-90.3929,69.69,86,100,4.61,US,1660666693
Beringovskiy,63.05,179.3167,45.48,66,100,14.97,RU,1660666836
Camacha,33.0833,-16.3333,72.82,73,40,12.66,PT,1660666836
Hilo,19.7297,-155.09,76.28,88,20,3.44,US,1660666836
Pisco,-13.7,-76.2167,65.01,77,75,9.22,PE,1660666837
Skovorodino,53.9833,123.9167,58.55,97,100,3.44,RU,1660666837
Devils Lake,48.1128,-98.8651,75.31,100,100,0.0,US,1660666744
Arona,28.0996,-16.681,77.52,72,20,12.66,ES,1660666837
College,64.8569,-147.8028,52.81,93,75,5.75,US,1660666838
North Bend,43.4065,-124.2243,65.16,100,100,3.44,US,1660666838
Mahajanga,-15.7167,46.3167,74.86,73,4,13.98,MG,1660666838
Chakwal,32.9334,72.8585,85.39,65,77,5.28,PK,1660666839
Amuntai,-2.4177,115.2494,73.06,97,100,2.37,ID,1660666839
Titlāgarh,20.3,83.15,79.54,80,3,3.67,IN,1660666839
Mossamedes,-15.1961,12.1522,64.04,80,23,11.12,AO,1660666840
Los Llanos de Aridane,28.6585,-17.9182,75.13,80,20,17.27,ES,1660666840
Campo Verde,-20.4167,-54.0667,89.78,28,44,16.89,BR,1660666841
Isangel,-19.55,169.2667,77.04,90,99,12.53,VU,1660666842
Wad Rāwah,15.1603,33.1397,89.37,42,97,4.94,SD,1660666842
Nome,64.5011,-165.4064,38.16,81,0,9.22,US,1660666842
Kahului,20.8947,-156.47,74.84,73,0,4.61,US,1660666708
Hutang,31.5333,119.4833,79.07,95,100,3.11,CN,1660666843
Muzhi,65.3667,64.6667,47.35,66,44,13.42,RU,1660666843
Pachmarhi,22.4667,78.4333,66.38,96,76,4.65,IN,1660666843
Soyo,-6.1349,12.3689,73.45,75,5,7.29,AO,1660666844
Tura,25.5198,90.2201,77.32,82,40,3.69,IN,1660666844
Polunochnoye,60.8697,60.4153,52.97,59,40,5.03,RU,1660666844
Port Hardy,50.6996,-127.4199,59.18,100,75,0.0,CA,1660666845
Saraza,8.7356,117.78,78.58,88,80,4.99,PH,1660666845
Tasiilaq,65.6145,-37.6368,48.36,67,100,7.87,GL,1660666845
Porbandar,21.6422,69.6093,80.65,87,100,19.22,IN,1660666846
Half Moon Bay,37.4636,-122.4286,76.44,78,0,0.0,US,1660666846
São Paulo de Olivença,-3.3783,-68.8725,85.03,72,9,1.57,BR,1660666847
Nangong,37.3581,115.3744,74.34,81,0,3.38,CN,1660666848
Ilulissat,69.2167,-51.1,44.62,87,75,4.61,GL,1660666848
Shimoda,34.6667,138.95,79.11,90,100,20.15,JP,1660666848
Aberfoyle,-30.2667,152.0167,31.17,98,12,4.59,AU,1660666849
Bambous Virieux,-20.3428,57.7575,70.05,88,40,4.61,MU,1660666849
Atar,20.5169,-13.0499,109.87,8,4,9.84,MR,1660666849
Mtwara,-10.2667,40.1833,73.44,79,27,8.08,TZ,1660666850
Bonthe,7.5264,-12.505,74.97,93,100,17.96,SL,1660666850
Borogontsy,62.6683,131.1683,54.32,94,96,2.55,RU,1660666850
San Patricio,28.017,-97.5169,91.29,60,52,11.21,US,1660666851
Nurota,40.5614,65.6886,86.99,18,0,14.2,UZ,1660666851
Souillac,-20.5167,57.5167,70.18,88,40,4.61,MU,1660666851
Anchorage,61.2181,-149.9003,52.93,92,100,0.0,US,1660666704
Tabas,33.5959,56.9244,91.78,10,0,10.71,IR,1660666852
Flinders,-34.5833,150.8552,50.38,78,18,1.99,AU,1660666853
Kisangani,0.5167,25.2,72.99,93,100,2.35,CD,1660666853
Abu Dhabi,24.4667,54.3667,95.11,64,0,5.75,AE,1660666762
Sitka,57.0531,-135.33,62.49,67,100,5.75,US,1660666855
Hamilton,39.1834,-84.5333,79.95,63,40,14.97,US,1660666846
Lüderitz,-26.6481,15.1594,60.39,59,44,6.89,NA,1660666855
Nikolskoye,59.7035,30.7861,83.91,50,23,3.67,RU,1660666856
Marzuq,14.4,46.4667,85.24,54,85,11.32,YE,1660666856
Vaxjo,56.8777,14.8091,79.57,61,60,11.5,SE,1660666856
Svetlaya,46.5389,138.3297,62.78,89,2,4.68,RU,1660666857
Dikson,73.5069,80.5464,41.32,87,100,23.87,RU,1660666857
Belomorsk,64.5232,34.7668,77.99,53,26,4.61,RU,1660666857
Khovd,48.0056,91.6419,59.65,48,0,6.67,MN,1660666858
Semey,50.4111,80.2275,63.77,31,67,12.33,KZ,1660666858
Casper,42.8666,-106.3131,73.72,65,0,1.99,US,1660666858
Palu,-0.8917,119.8707,74.34,96,100,2.95,ID,1660666859
Nokaneng,-19.6667,22.2667,75.88,8,0,3.94,BW,1660666859
Geraldton,-28.7667,114.6,61.21,72,75,16.11,AU,1660666859
Goderich,43.7501,-81.7165,76.91,64,4,8.05,CA,1660666861
Padang,-0.9492,100.3543,78.26,86,35,4.29,ID,1660666861
Lata,40.1629,-8.3327,69.82,51,20,14.38,PT,1660666861
Tual,-5.6667,132.75,79.43,81,93,16.02,ID,1660666866
Mount Isa,-20.7333,139.5,58.77,38,4,13.8,AU,1660666867
Oktyabr'skiy,54.4815,53.471,63.55,60,23,5.06,RU,1660666867
Miasskoye,55.2784,61.8905,63.48,55,52,7.81,RU,1660666868
Himarë,40.1017,19.7447,82.09,64,58,4.76,AL,1660666869
Dalkola,25.85,87.85,88.27,62,93,5.57,IN,1660666869
Nioro,13.35,-15.75,92.44,51,30,4.99,GM,1660666870
Marion,39.7684,-86.1555,80.38,57,40,9.22,US,1660666777
Kavaratti,10.5669,72.642,81.54,79,40,8.84,IN,1660666871
San Cristobal,7.7669,-72.225,73.58,42,12,6.02,VE,1660666770
Lompoc,34.6391,-120.4579,69.85,94,75,0.0,US,1660666872
Camopi,3.1655,-52.3158,92.71,38,12,2.93,GF,1660666873
Kavieng,-2.5744,150.7967,80.87,78,100,7.58,PG,1660666873
Canary Islands,28.0,-15.5,75.16,54,20,26.46,ES,1660666873
Saint-Augustin,51.226,-58.6502,75.96,32,10,3.58,CA,1660666874
Ardabil,38.2498,48.2933,74.75,43,20,21.85,IR,1660666875
Dakoro,14.5106,6.765,84.7,52,100,6.44,NE,1660666875
Ballina,-28.8667,153.5667,47.79,88,52,9.62,AU,1660666876
Provideniya,64.3833,-173.3,39.36,74,10,7.36,RU,1660666876
Aktau,43.65,51.2,90.18,27,0,7.54,KZ,1660666876
Yemtsa,63.0734,40.3329,70.68,69,89,3.67,RU,1660666754
Vostok,46.4856,135.8833,55.53,96,1,3.51,RU,1660666877
Whitehorse,60.7161,-135.0538,53.1,73,75,11.5,CA,1660666877
Cocorit,27.5833,-109.9667,82.96,73,89,6.08,MX,1660666878
Doha,25.2867,51.5333,100.71,49,0,9.22,QA,1660666880
Ndélé,8.4109,20.6473,71.13,95,100,4.32,CF,1660666880
Kandava,57.0409,22.7747,80.71,47,100,10.29,LV,1660666882
Boyuibe,-20.4167,-63.2833,82.26,26,2,3.69,BO,1660666882
Oloví,50.2511,12.5588,78.78,40,89,5.08,CZ,1660666882
Rio Grande,-32.035,-52.0986,66.31,46,0,1.77,BR,1660666883
Ghanzi,-21.5667,21.7833,70.29,9,5,5.26,BW,1660666883
Chaiyaphum,15.75,102.0,76.51,88,100,10.31,TH,1660666884
Okakarara,-20.5833,17.4333,78.82,6,1,6.58,NA,1660666884
Oyama,36.3,139.8,81.41,73,100,6.69,JP,1660666884
Nalvo,16.8096,120.5108,74.16,90,100,2.62,PH,1660666885
Lakshettipet,18.8667,79.2167,77.18,87,8,5.59,IN,1660666885
Jinchang,38.4953,102.1739,80.15,43,0,6.67,CN,1660666885
Walvis Bay,-22.9575,14.5053,61.75,67,0,9.22,NA,1660666886
Gouré,13.9835,10.2704,84.02,63,93,7.94,NE,1660666886
Nanortalik,60.1432,-45.2371,43.11,98,100,8.52,GL,1660666886
Gejiu,23.306,103.1635,59.22,93,97,2.77,CN,1660666887
Birao,10.2849,22.7882,72.95,93,100,6.46,CF,1660666887
Iqaluit,63.7506,-68.5145,47.93,66,75,17.27,CA,1660666887
Marsh Harbour,26.5412,-77.0636,85.42,64,15,7.09,BS,1660666888
Muriti,-1.9833,32.9167,73.65,69,91,14.61,TZ,1660666888
La Santisima Trinidad,-14.8333,-64.9,85.98,66,75,9.22,BO,1660666888
Pangai,-19.8,-174.35,74.21,66,100,31.05,TO,1660666888
Port Moresby,-9.4431,147.1797,72.82,88,0,5.75,PG,1660666889
Dawson Creek,55.7666,-120.2362,65.84,55,20,13.8,CA,1660666821
Cabo San Lucas,22.8909,-109.9124,86.5,69,100,9.22,MX,1660666716
Vanavara,60.34,102.2797,46.62,95,98,4.61,RU,1660666891
Charters Towers,-20.1,146.2667,52.23,53,0,8.81,AU,1660666892
Laas,46.6166,10.7002,78.69,62,69,5.01,IT,1660666892
Bandarbeyla,9.4942,50.8122,77.0,82,33,29.04,SO,1660666893
Norman Wells,65.282,-126.8329,62.64,77,75,8.05,CA,1660666894
Touros,-5.1989,-35.4608,82.89,54,13,20.07,BR,1660666894
Oranjestad,12.524,-70.027,87.75,66,40,20.71,AW,1660666638
Hervey Bay,-25.2986,152.8535,56.68,76,57,11.48,AU,1660666895
Bulnes,-36.7423,-72.2985,47.16,97,100,11.59,CL,1660666895
Saint-François,46.4154,3.9054,85.44,30,99,5.75,FR,1660666895
San Quintín,30.4833,-115.95,73.31,80,9,5.95,MX,1660666896
Fare,-16.7,-151.0167,75.24,82,99,18.21,PF,1660666896
Sinnamary,5.3833,-52.95,84.58,62,4,4.29,GF,1660666896
Cedar City,37.6775,-113.0619,73.4,60,20,0.0,US,1660666727
Vardø,70.3705,31.1107,71.58,64,0,10.36,NO,1660666897
Alamosa,37.4695,-105.87,66.18,59,100,0.0,US,1660666897
St. George's,12.0564,-61.7485,89.28,62,20,18.41,GD,1660666897
Warren,39.4334,-84.1666,79.25,61,20,10.36,US,1660666684
Kirakira,-10.4544,161.9205,78.64,79,1,6.64,SB,1660666898
Casas Adobes,32.3234,-110.9951,89.08,50,77,1.99,US,1660666898
Cap Malheureux,-19.9842,57.6142,69.48,78,84,5.01,MU,1660666898
Levokumka,44.2317,43.15,82.26,58,2,20.0,RU,1660666899
Inuvik,68.3499,-133.7218,58.06,88,75,2.3,CA,1660666899
Grindavik,63.8424,-22.4338,54.07,62,75,14.97,IS,1660666899
Christchurch,-43.5333,172.6333,56.32,81,100,9.22,NZ,1660666900
Balikpapan,-1.2675,116.8289,76.19,100,40,1.14,ID,1660666900
Bairiki Village,1.3292,172.9752,80.62,75,49,19.17,KI,1660666900
Saint George,37.1041,-113.5841,85.62,48,0,1.01,US,1660666775
Cairns,-16.9167,145.7667,63.07,90,0,1.14,AU,1660666717
Gamba,-2.65,10.0,73.85,70,32,10.63,GA,1660666901
Broken Hill,-31.95,141.4333,45.79,77,5,2.19,AU,1660666901
Constitución,-35.3333,-72.4167,51.69,93,100,17.58,CL,1660666902
Tateyama,34.9833,139.8667,79.11,89,75,16.11,JP,1660666902
Biak,-0.9131,122.8766,73.06,79,100,5.7,ID,1660666902
Yulara,-25.2406,130.9889,53.46,30,0,6.91,AU,1660666903
Faya,18.3851,42.4509,68.11,67,62,6.22,SA,1660666903
Pochutla,15.7432,-96.4661,84.02,71,82,4.27,MX,1660666903
Barcelos,41.5388,-8.6151,70.92,67,69,12.48,PT,1660666904
Lokoja,7.8024,6.743,81.21,72,88,6.26,NG,1660666752
Acajutla,13.5928,-89.8275,78.62,79,100,5.35,SV,1660666904
Bull Savanna,17.8868,-77.5902,85.15,62,86,12.68,JM,1660666904
Rurrenabaque,-14.4413,-67.5278,85.69,79,75,0.0,BO,1660666906
Bethel,41.3712,-73.414,83.35,45,0,11.5,US,1660666906
Béboto,8.2668,16.939,69.48,98,100,5.84,TD,1660666906
Mabaruma,8.2,-59.7833,82.74,77,23,5.14,GY,1660666907
Yerbogachën,61.2767,108.0108,49.8,96,100,6.4,RU,1660666907
Okhotsk,59.3833,143.3,55.29,91,100,1.1,RU,1660666907
Letlhakane,-21.4167,25.5833,69.35,16,3,4.29,BW,1660666908
Tessalit,20.1986,1.0114,102.47,19,25,11.63,ML,1660666909
Fortuna,40.5982,-124.1573,57.54,100,100,0.0,US,1660666909
Manta,-0.95,-80.7333,76.01,68,58,7.23,EC,1660666910
Beidao,34.5686,105.8933,74.86,77,26,5.14,CN,1660666910
Fria,10.4167,-13.5833,81.16,82,90,6.26,GN,1660666910
Vânători,45.7333,27.25,79.47,52,45,8.28,RO,1660666911
Basco,20.4487,121.9702,83.43,78,100,11.7,PH,1660666911
Pemangkat,1.1667,108.9667,80.2,84,73,8.01,ID,1660666911
Vila Velha,-20.3297,-40.2925,84.15,57,40,14.97,BR,1660666912
Kilindoni,-7.9139,39.6668,75.54,75,16,13.6,TZ,1660666912
Sampit,-2.5333,112.95,76.32,92,100,3.33,ID,1660666912
Codrington,-38.2667,141.9667,44.83,93,100,8.16,AU,1660666912
Havelock,34.8791,-76.9013,80.56,82,100,6.91,US,1660666709
Coahuayana Viejo,18.7333,-103.6833,87.62,58,61,1.03,MX,1660666913
Hong Kong,22.2855,114.1577,86.18,86,4,8.99,HK,1660666757
El Rosario,24.2556,-107.1828,83.73,71,97,5.91,MX,1660666917
Buala,-8.145,159.5921,79.09,77,8,5.03,SB,1660666917
Jalu,29.0331,21.5482,97.56,16,0,16.78,LY,1660666918
Kumul,42.8,93.45,88.84,20,100,14.03,CN,1660666919
Biskamzha,53.4497,89.5272,41.77,96,21,3.31,RU,1660666919
Aklavik,68.2191,-135.0107,51.8,100,100,5.75,CA,1660666919
Beipiao,41.7919,120.7792,66.02,81,0,1.59,CN,1660666920
Naze,28.3667,129.4833,81.52,80,76,11.03,JP,1660666920
Leh,34.1667,77.5833,62.62,59,94,6.69,IN,1660666920
Tiksi,71.6872,128.8694,45.99,88,34,8.57,RU,1660666921
Balkhash,46.844,74.9804,72.19,31,0,10.29,KZ,1660666921
Chivay,-15.6383,-71.6011,58.14,10,58,4.03,PE,1660666921
Seydi,39.4816,62.9137,90.36,12,0,18.45,TM,1660666922
Yelan',50.949,43.7378,82.8,27,100,7.61,RU,1660666923
Laguna,38.421,-121.4238,91.09,44,0,1.99,US,1660666772
Wesselsbron,-27.8549,26.3658,60.67,15,46,6.6,ZA,1660666750
San Luis,-33.295,-66.3356,65.93,18,5,7.29,AR,1660666924
Maceió,-9.6658,-35.7353,85.44,61,75,17.27,BR,1660666924
High Rock,26.6208,-78.2833,87.82,66,43,10.4,BS,1660666924
Port Blair,11.6667,92.75,78.84,89,100,6.91,IN,1660666886
Huánuco,-9.9329,-76.2415,74.8,47,19,7.87,PE,1660666925
Ketchikan,55.3422,-131.6461,61.27,94,100,5.75,US,1660666925
Nola,40.922,14.5329,86.41,70,1,5.99,IT,1660666925
Salalah,17.0151,54.0924,77.09,94,100,5.75,OM,1660666927
San Jose de Guanipa,8.8872,-64.1651,87.64,51,32,11.95,VE,1660666927
